"","sc3_22_clusters"
"Var1_1","12"
"Var1_2","12"
"Var1_3","12"
"Var1_4","12"
"Var1_5","12"
"Var1_6","12"
"Var1_7","3"
"Var1_8","12"
"Var1_9","12"
"Var1_10","12"
"Var1_11","12"
"Var1_12","12"
"Var1_13","8"
"Var1_14","8"
"Var1_15","19"
"Var1_16","21"
"Var1_17","3"
"Var1_18","12"
"Var1_19","20"
"Var1_20","2"
"Var1_21","2"
"Var1_22","9"
"Var1_23","20"
"Var1_24","2"
"Var1_25","8"
"Var1_26","11"
"Var1_27","2"
"Var1_28","12"
"Var1_29","12"
"Var1_30","2"
"Var1_31","8"
"Var1_32","8"
"Var1_33","8"
"Var1_34","8"
"Var1_35","2"
"Var1_36","12"
"Var1_37","2"
"Var1_38","4"
"Var1_39","3"
"Var1_40","8"
"Var1_41","21"
"Var1_42","1"
"Var1_43","8"
"Var1_44","21"
"Var1_45","21"
"Var1_46","21"
"Var1_47","12"
"Var1_48","21"
"Var1_49","8"
"Var1_50","1"
"Var1_51","8"
"Var1_52","2"
"Var1_53","12"
"Var1_54","2"
"Var1_55","3"
"Var1_56","21"
"Var1_57","2"
"Var1_58","2"
"Var1_59","3"
"Var1_60","19"
"Var1_61","20"
"Var1_62","11"
"Var1_63","19"
"Var1_64","20"
"Var1_65","1"
"Var1_66","12"
"Var1_67","9"
"Var1_68","2"
"Var1_69","8"
"Var1_70","9"
"Var1_71","22"
"Var1_72","19"
"Var1_73","3"
"Var1_74","8"
"Var1_75","2"
"Var1_76","2"
"Var1_77","8"
"Var1_78","3"
"Var1_79","2"
"Var1_80","2"
"Var1_81","7"
"Var1_82","3"
"Var1_83","1"
"Var1_84","12"
"Var1_85","21"
"Var1_86","8"
"Var1_87","8"
"Var1_88","2"
"Var1_89","22"
"Var1_90","2"
"Var1_91","1"
"Var1_92","7"
"Var1_93","2"
"Var1_94","3"
"Var1_95","2"
"Var1_96","19"
"Var1_97","2"
"Var1_98","8"
"Var1_99","8"
"Var1_100","1"
"Var1_101","8"
"Var1_102","9"
"Var1_103","11"
"Var1_104","8"
"Var1_105","1"
"Var1_106","2"
"Var1_107","22"
"Var1_108","3"
"Var1_109","12"
"Var1_110","8"
"Var1_111","2"
"Var1_112","19"
"Var1_113","8"
"Var1_114","2"
"Var1_115","4"
"Var1_116","2"
"Var1_117","8"
"Var1_118","2"
"Var1_119","8"
"Var1_120","2"
"Var1_121","2"
"Var1_122","3"
"Var1_123","8"
"Var1_124","1"
"Var1_125","4"
"Var1_126","1"
"Var1_127","11"
"Var1_128","1"
"Var1_129","8"
"Var1_130","2"
"Var1_131","11"
"Var1_132","9"
"Var1_133","2"
"Var1_134","12"
"Var1_135","9"
"Var1_136","1"
"Var1_137","2"
"Var1_138","11"
"Var1_139","2"
"Var1_140","8"
"Var1_141","19"
"Var1_142","2"
"Var1_143","2"
"Var1_144","3"
"Var1_145","2"
"Var1_146","16"
"Var1_147","7"
"Var1_148","20"
"Var1_149","20"
"Var1_150","3"
"Var1_151","3"
"Var1_152","2"
"Var1_153","2"
"Var1_154","8"
"Var1_155","2"
"Var1_156","21"
"Var1_157","1"
"Var1_158","3"
"Var1_159","11"
"Var1_160","4"
"Var1_161","11"
"Var1_162","2"
"Var1_163","18"
"Var1_164","2"
"Var1_165","2"
"Var1_166","3"
"Var1_167","22"
"Var1_168","2"
"Var1_169","1"
"Var1_170","3"
"Var1_171","12"
"Var1_172","19"
"Var1_173","12"
"Var1_174","1"
"Var1_175","2"
